Unit	Qtype	Qpart	Qnum	FillPatt	Pattern	ModF1	ModF2	ModF3	Rules	ModPrompt	Comment	Orig_Pattern	Orig_ModF1	Orig_ModF2
16	SUB		6	1	{F1}, {F2} meine Eltern das Haus verkauft haben, wohnt in der Gartenstraße.		d-		rel.nom.dat			{F1}, {F2} meine Eltern das Haus verkauft haben, wohnt in der Gartenstrasse.		
16	SUB		7	1	{F1}, {F2} er arbeitet, ist in der Goethestraße.		in d-		rel.nom.dat			{F1}, {F2} er arbeitet, ist in der Goethestrasse.		
16	SUB		8	1	Das ist {F1}, {F2} Sohn in Amerika studiert.		d-		rel.nom.gen					
16	SUB		9	1	Ich habe {F1}, {F2} auf morgen festgelegt war, aufschieben können.		d-		rel.acc.acc					
16	SUB		10	1	Herr Schmidt sprach über {F1}, {F2} ihm so gut gefallen hat.		d-		rel.acc.nom					
16	SUB		11	1	Haben Sie schon {F1} gelesen, {F2} auf Ihrem Schreibtisch liegt?		d-		rel.acc.nom					
16	SUB		12	2	Ich traf {F1}, {F2} wir neulich geschrieben haben, in der Kunstausstellung.		an d-		rel.acc.acc					
16	SUB		13	1	Vorgestern traf ich {F1}, {F2} Sie mich auf dem Empfang vorgestellt haben.		d-		rel.acc.dat					
16	SUB		14	2	Er begrüßt gerade {F1}, {F2} wir unser Haus verkauft haben.		d-		rel.acc.dat			Er begrüsst gerade {F1}, {F2} wir unser Haus verkauft haben.		
16	SUB		15	1	{F1}, {F2} ich gerechnet hatte, habe ich nicht bekommen.		mit d-		rel.acc.dat					
16	SUB		16	1	Gestern sah ich {F1}, {F2} Bedeutung den meisten Berlinern bekannt ist.		d-		rel.acc.gen					
16	SUB		17	1	Ich fuhr vor zwei Wochen zu {F1}, {F2} dort jedes Jahr stattfindet.		d-		rel.dat.nom					
16	SUB		18	2	Setzen Sie sich mit {F1} in Verbindung, {F2} Ihnen das Formular gegeben hat.		d-		rel.dat.nom					
16	SUB		19	1	Was stand in {F1}, {F2} Sie erwähnten?		d-		rel.dat.nom					
16	SUB		20	2	Dieses Haus gehört {F1}, {F2} ich kenne.		d-		rel.dat.acc					
16	SUB		21	2	Ich habe {F1}, {F2} ich den Artikel übersetzte, ein paarmal geschrieben.		für d-		rel.dat.acc					
16	SUB		22	2	Sind Sie mit {F1}, {F2} Sie neulich sprachen, zufrieden?		von d-		rel.dat.dat					
16	SUB		23	2	Zeige das Bild {F1}, {F2} wir die anderen Bilder verkauften.		d-		rel.dat.dat					
16	SUB		24	2	Das Buch gehört {F1}, {F2} ich gestern im Theater war.		mit d-		rel.dat.dat					
16	SUB		25	2	Er stellte mich {F1} vor, {F2} Vortrag wir gehört hatten.		d-		rel.dat.gen					
16	SUB		26	2	Das Auto gehört {F1}, {F2} Geschäft mein Sohn arbeitet.		in d-		rel.dat.gen					
16	SUB		27	2	Er ist ein guter Freund {F1}, {F2} in Washington wohnt.		d-		rel.gen.nom					
16	SUB		28	2	Wissen Sie die Adresse {F1}, {F2} wir am Sonntag in der Stadt getroffen haben?		d-		rel.gen.acc					
16	SUB		29	2	Hier ist der Koffer {F1}, {F2} wir das Zimmer reserviert haben.		d-		rel.gen.dat					
16	SUB		30	2	Hier ist ein Brief {F1}, {F2} wir voriges Jahr in Deutschland waren.		mit d-		rel.gen.dat					
16	SUB		31	2	Ist das ein Bericht {F1}, {F2} Vortrag wir neulich hörten?		d-		rel.gen.gen					
16	SUB		32	2	Wo ist der Brief {F1}, {F2} Vorschlag wir gerade sprachen?		über d-		rel.gen.gen					
16	SUB		33	1	Gefällt Ihnen {F1}? {F2} habe ich mir gestern gekauft.		D-		rel.nom.acc					
16	SUB		34	1	Siehst du {F1} dort drüben? {F2} sprach ich neulich.		Von d-		rel.acc.dat					
17	SUB		19	1	{F1} kann ich bei der Gelegenheit auch gleich besorgen.				ein.acc					
17	SUB		21	2	{F1} {F2} die Abzüge bei {F3}.	Ich	habe	mir	prep.bei					
17	SUB		22	2	Gegen {F1} habe ich nichts einzuwenden.				ein.acc					
17	SUB		23	2	Ich habe seit {F1} zwei Negative bei mir.				spec.dat					
17	SUB		24	2	Er bat mich um {F1}.				ein.adj.acc					
17	SUB		25	2	Ich habe neulich schon vor {F1} gestanden.				der.adj.dat					
17	SUB		26	1	Können Sie {F1} reparieren?				der.acc					
17	VAP	2	1	2	Die grüne Krawatte passt nicht {F1} Ihrem blauen Anzug.				vap					
17	VAP	2	2	2	Die Pfettrach und Chalupka G.m.b.H hat {F1} die neuen Zollbestimmungen gebeten.				vap					
17	VAP	2	3	2	Ich habe dreimal {F1} Ihnen geklingelt.				vap					
17	VAP	2	4	2	Der Landrat blickt {F1} Frau von Qualitz.				vap					
17	VAP	2	5	2	Mit diesem Vorschlag wenden Sie sich am besten {F1} den Betriebsleiter.				vap					
17	VAP	2	6	2	Er hält sehr viel {F1} ihr.				vap					
17	VAP	2	7	2	Bitte warten Sie nicht {F1} mich, ich muss noch einige Besorgungen machen.				vap					
17	VAP	2	8	2	Er hat {F1} seinem Urlaub im August gerechnet.				vap					
17	VAP	2	9	2	Er kam {F1} Argentinien.				vap					
17	VAP	2	10	2	Wir freuen uns {F1} ihren Besuch.				vap					
17	VAP	2	11	2	Es handelt sich {F1} das Telefongespräch mit dem Architekten.				vap			Es handelt sich {F1} das Telephongespräch mit dem Architekten.		
17	VAP	2	12	2	{F1} einer Reise nach Italien reichte unsere Zeit nicht aus.				vap					
17	VAP	2	13	2	Hielten Sie etwas {F1} seinen Vorschlägen?				vap					
17	VAP	2	14	2	Wenn Sie eine Frage haben, wenden Sie sich bitte {F1} den Empfangschef.				vap					
17	VAP	2	15	2	Sehntest du dich {F1} mir?				vap					
17	VAP	2	16	2	Sprachen Sie schon {F1} dem Redakteur Dreisörner?				vap					
17	VAP	2	17	2	{F1} Ihren Vorschlag habe ich viel einzuwenden.				vap					
17	VAP	2	18	2	{F1} den Bodensee grenzen die Schweiz, Deutschland und Österreich.				vap					
17	VAP	2	19	2	Er hielt wenig {F1} dem Ergebnis dieser Verhandlungen.				vap					
17	VAP	2	20	2	Er wartet immer noch {F1} das Ergebnis der Verhandlung.				vap					
17	VAP	2	21	2	Ich habe {F1} Ihre Urlaubspläne nichts einzuwenden.				vap					
17	VAP	2	22	2	Sind Sie nicht {F1} der Gedächtniskirche vorbeigekommen?				vap					
17	VAP	2	23	2	{F1} Ihnen spreche ich nicht mehr.				vap					
17	VAP	2	24	2	Sie sagt, sie kümmert sich {F1} ihre alte Mutter.				vap					
17	VAP	2	25	2	Wohin wir reisen werden, hängt {F1} der Jahreszeit ab, in der ich Urlaub habe.				vap					
17	VAP	2	26	2	Ich wusste nicht, was ich {F1} halten sollte.	da-			vap					
17	VAP	2	27	2	Es kommt {F1} die Baupläne an, die unsere Architekten gerade bearbeiten.				vap					
17	VAP	2	28	2	Die Bedeutung der Gedächtniskirche als Mahnmal geht {F1} den letzten Krieg zurück.				vap					
17	VAP	2	29	2	Sie schrieben {F1} die Buchhandlung.				vap					
17	VAP	2	30	2	Der Herr Generalkonsul fährt {F1} der Straßenbahn.				vap			Der Herr Generalkonsul fährt {F1} der Strassenbahn.		
17	VAP	2	31	2	{F1} die Atmosphäre muss ich mich erst gewöhnen.				vap					
17	VAP	2	32	2	Es kommt {F1} an, ob ihn die Fischerei interessiert.	da-			vap					
17	VAP	2	33	2	Ich muss mich erst {F1} das Fahren in der Stadt gewöhnen.				vap					
18	VAP	2	1	2	Ich werde Herrn Becker {F1} einem Installateur fragen.				vap					
18	VAP	2	2	2	Er hat ausführlich {F1} seine Abenteuer in Frankreich geschrieben.				vap					
18	VAP	2	3	2	Man hat viele Jahre {F1} dem Wiederaufbau der Stadt gearbeitet.				vap					
18	VAP	2	4	2	Wir sprachen {F1}, dass sie wohl nicht kommen wird.				vap					
18	VAP	2	5	2	Sie hört nicht {F1} ihn.				vap					
18	VAP	2	6	2	Was schrieb Ihr Freund {F1} die Industriemesse?				vap					
18	VAP	2	7	2	Hast du dich {F1} der Adresse von Herrn Koch erkundigt?				vap					
18	VAP	2	8	2	Wie denken deine Eltern {F1} diese Angelegenheit?				vap					
18	VAP	2	9	2	Das Ferngespräch soll {F1} Zimmer 112 umgeschaltet werden.				vap					
18	VAP	2	10	2	Wir haben nicht {F1} einer höheren Miete gerechnet.				vap					
18	VAP	2	11	2	Ich arbeite {F1} einem neuen Projekt.				vap					
18	VAP	2	12	2	Herr Thomas wird {F1} die neuen Zollbestimmungen sprechen.				vap					
18	VAP	2	13	2	Sie vermietet nur {F1} Damen.				vap					
18	VAP	2	14	2	Haben Sie {F1} gedacht, eine Nachkur zu machen?				vap					
18	VAP	2	15	2	{F1} einer Dame der Gesellschaft habe ich mir eigentlich etwas anderes vorgestellt.				vap					
18	VAP	2	16	2	Wir sprachen {F1} seiner Geliebten.				vap					
18	VAP	2	17	2	Wir wollen nicht {F1} rechnen, dass er die Arbeit heute schon erledigen kann.				vap					
18	VAP	2	18	2	{F1} wen haben Sie Ihr Haus vermietet?				vap					
18	VAP	2	19	2	Er rechnete nicht {F1}, dass man ihn im Krankenhaus behalten würde.				vap					
18	VAP	2	20	2	Herr Prokosch fragte mich {F1} dem Namen der netten, neuen Schwester.				vap					
18	VAP	2	21	2	Wir hoffen {F1} besseres Wetter.				vap					
18	VAP	2	22	2	Meine Mutter wird sich sehr {F1} die Vergrößerungen freuen.				vap			Meine Mutter wird sich sehr {F1} die Vergrösserungen freuen.		
18	VAP	2	23	2	Das führt {F1} nichts.				vap					
18	VAP	2	24	2	Ich rechne {F1} Sie.				vap					
18	VAP	2	25	2	Ich kann mir {F1} diesem Bild nichts vorstellen.				vap					
18	VAP	2	27	2	Herr Koch rechnet {F1} die Hilfe seiner Kollegen, um dieses Projekt ausführen zu können.				vap					
